Year,Rate
1953,13.3
1964,18.3
1982,20.9
1990,26.4
2000,36.2
2005,42.9
2010,49.7
2011,51.27
2012,52.57
2013,53.73
2014,54.77
2015,56.1
2016,57.35
2017,58.52
